Time,Average_MutrateA,Stdev_MutrateA,Average_MutrateB,Stdev_MutrateB,Average_Switchpoint,Stdev_Switchpoint,Average_Envtrait,Stdev_Envtrait,Env_Value,Seed
0,0.001,6.50521e-19,0.001,6.50521e-19,0.5,0,0.5,0,0.27318,0
2,0.00100392,0.000107521,0.000999505,1.56351e-05,0.500223,0.00769855,0.499917,0.00208824,0.27318,0
3,0.00100732,0.000151073,0.00100021,6.54769e-06,0.50012,0.00536416,0.499876,0.00262048,0.27318,0
4,0.00100393,0.000109793,0.00099987,4.10452e-06,0.5,0,0.499854,0.00402327,0.27318,0
5,0.00100067,2.22463e-05,0.00099987,4.10452e-06,0.499985,0.00415813,0.499857,0.00394867,0.27318,0
6,0.00100053,8.35813e-06,0.00100016,5.05431e-06,0.499976,0.000758883,0.500154,0.00516488,0.27318,0
7,0.0010001,1.4546e-05,0.0010004,7.63066e-06,0.5,0,0.500221,0.00368311,0.27318,0
8,0.00100011,1.02604e-05,0.0010015,3.24713e-05,0.5001,0.00400377,0.500385,0.00411309,0.27318,0
9,0.000999563,1.10775e-05,0.00100015,5.68359e-06,0.500212,0.00477271,0.500354,0.00358409,0.27318,0
10,0.00100006,9.59092e-06,0.00100003,7.79353e-06,0.500424,0.00674298,0.500379,0.00451449,0.27318,0
11,0.000999281,1.16399e-05,0.0010009,3.0998e-05,0.50046,0.00745997,0.500318,0.00547831,0.27318,0
12,0.000999281,1.16399e-05,0.000999602,1.55393e-05,0.500684,0.0105097,0.500207,0.00268686,0.27318,0
13,0.000999807,3.5115e-06,0.000999231,2.13882e-05,0.500338,0.0104963,0.500306,0.00239782,0.27318,0
14,0.00099998,4.48085e-06,0.00099924,2.11428e-05,0.50082,0.0113516,0.500459,0.00292476,0.27318,0
15,0.00100004,3.99422e-06,0.000999,2.40014e-05,0.500591,0.0113833,0.500419,0.00306593,0.27318,0
16,0.00100009,5.64833e-06,0.00099906,1.9486e-05,0.500614,0.0120653,0.500254,0.00304777,0.27318,0
17,0.000999534,2.20047e-05,0.00099979,1.54354e-05,0.500784,0.0146672,0.50039,0.0040899,0.27318,0
18,0.000998588,3.00594e-05,0.000999795,1.52869e-05,0.500479,0.015472,0.500318,0.00252616,0.27318,0
19,0.000997911,5.43779e-05,0.00099988,1.5523e-05,0.500255,0.014512,0.500358,0.00267121,0.27318,0
20,0.00100121,8.79538e-05,0.00100043,6.00483e-06,0.500445,0.0157789,0.500376,0.00272714,0.27318,0
21,0.00100239,0.00010027,0.00100083,1.12837e-05,0.500502,0.0213159,0.500493,0.00361796,0.27318,0
22,0.00100496,8.07266e-05,0.00100015,1.08132e-05,0.500767,0.0199391,0.500439,0.00306522,0.27318,0
23,0.00100369,7.74133e-05,0.0010013,5.81626e-05,0.500877,0.0179522,0.500248,0.00216466,0.27318,0
24,0.00100199,5.53457e-05,0.00100123,5.77486e-05,0.500512,0.015266,0.50032,0.00323992,0.27318,0
25,0.000998324,4.34667e-05,0.00100325,6.57354e-05,0.500533,0.0168235,0.500611,0.00466191,0.27318,0
26,0.000998258,4.74977e-05,0.00100372,7.08947e-05,0.50063,0.01401,0.500324,0.00524487,0.27318,0
27,0.000996639,5.43567e-05,0.00100849,0.000109532,0.500505,0.0151974,0.500238,0.00565567,0.27318,0
28,0.000996478,6.06428e-05,0.00101153,0.000125211,0.500241,0.0138441,0.499912,0.0063586,0.27318,0
29,0.000994154,6.58944e-05,0.00100787,0.000111364,0.499839,0.0132591,0.499979,0.00745868,0.27318,0
30,0.000992939,5.8231e-05,0.00100724,0.000122531,0.499739,0.0108811,0.499344,0.00669581,0.27318,0
31,0.000991323,6.66926e-05,0.00101104,0.000156569,0.500257,0.0159944,0.499487,0.00697708,0.27318,0
32,0.000992979,7.50676e-05,0.00101525,0.000183406,0.499931,0.0187332,0.499492,0.00678899,0.27318,0
33,0.000990876,7.59767e-05,0.00101652,0.000192259,0.498651,0.0196744,0.499431,0.00686025,0.27318,0
