Time,Average_MutrateA,Stdev_MutrateA,Average_MutrateB,Stdev_MutrateB,Average_Switchpoint,Stdev_Switchpoint,Average_Envtrait,Stdev_Envtrait,Env_Value,Seed
0,0.001,6.50521e-19,0.001,6.50521e-19,0.5,0,0.5,0,0.878166,0
2,0.000999251,1.73792e-05,0.00100184,3.77016e-05,0.500307,0.00565877,0.49998,0.000627136,0.878166,0
3,0.000998138,2.73097e-05,0.0010022,4.71249e-05,0.500729,0.0106467,0.499978,0.00219685,0.878166,0
4,0.000997163,3.57465e-05,0.00100026,5.21281e-05,0.501429,0.0144621,0.500055,0.00277161,0.878166,0
5,0.000998204,4.41875e-05,0.00100015,5.42564e-05,0.501128,0.01283,0.500113,0.00390104,0.878166,0
6,0.0009957,5.0991e-05,0.00100586,8.98082e-05,0.501598,0.0159995,0.500202,0.00417284,0.878166,0
7,0.000996756,4.99808e-05,0.00100718,9.8436e-05,0.502765,0.0189023,0.500341,0.00510057,0.878166,0
8,0.00099534,6.38831e-05,0.00100575,8.29602e-05,0.503186,0.0206585,0.500304,0.00473225,0.878166,0
9,0.00100002,7.44119e-05,0.00100577,8.38463e-05,0.503597,0.0236676,0.49992,0.00417152,0.878166,0
10,0.000998407,8.07156e-05,0.00100943,9.92322e-05,0.503504,0.022855,0.499896,0.00423892,0.878166,0
11,0.000997276,7.83893e-05,0.00101094,9.81478e-05,0.502937,0.0218103,0.499613,0.00725272,0.878166,0
12,0.000995574,7.46883e-05,0.00100705,8.0941e-05,0.502905,0.0237494,0.500269,0.00511594,0.878166,0
13,0.000997763,8.55162e-05,0.00101001,9.39457e-05,0.502249,0.0229223,0.5004,0.00588621,0.878166,0
14,0.000999666,7.79846e-05,0.00101618,0.000127369,0.502129,0.0235246,0.500604,0.00630193,0.878166,0
15,0.000997599,7.20321e-05,0.00102175,0.000156802,0.502626,0.0279645,0.500455,0.00674648,0.878166,0
16,0.000999357,7.12384e-05,0.00102924,0.00017141,0.501952,0.0281508,0.500562,0.00733144,0.878166,0
17,0.00100599,7.68708e-05,0.00103396,0.000184585,0.50171,0.0245075,0.500557,0.00710128,0.878166,0
18,0.00100572,8.22436e-05,0.00103363,0.000182375,0.501617,0.0234489,0.500492,0.00648657,0.878166,0
19,0.00100631,8.28034e-05,0.00102813,0.000167654,0.502721,0.0274987,0.500694,0.00748035,0.878166,0
20,0.000999994,4.96526e-05,0.00103363,0.000179856,0.502022,0.0269515,0.500896,0.00779173,0.878166,0
21,0.00100085,5.06998e-05,0.00103007,0.000170258,0.501564,0.0264752,0.500701,0.0068099,0.878166,0
22,0.000999677,4.39113e-05,0.00103381,0.000179415,0.501053,0.0294181,0.500514,0.00495608,0.878166,0
23,0.00100123,5.15493e-05,0.00104253,0.000206946,0.500751,0.0309834,0.500551,0.00477391,0.878166,0
24,0.000998622,5.74635e-05,0.00104392,0.000208134,0.502103,0.0307267,0.50023,0.0034817,0.878166,0
25,0.00099784,6.32043e-05,0.00104681,0.000212174,0.500891,0.0309644,0.500259,0.00395192,0.878166,0
26,0.00099717,5.18731e-05,0.00105379,0.000223657,0.501871,0.0357402,0.500403,0.00434609,0.878166,0
27,0.000994294,4.67129e-05,0.00105378,0.000224553,0.501006,0.0347715,0.500447,0.00388145,0.878166,0
28,0.000993432,5.34096e-05,0.00105237,0.000219276,0.49923,0.0327485,0.500511,0.00458092,0.878166,0
29,0.000994638,4.99916e-05,0.00105275,0.000220267,0.501342,0.0301283,0.500543,0.00468575,0.878166,0
30,0.000993675,5.57791e-05,0.00106099,0.000235835,0.502586,0.0313234,0.500694,0.00559042,0.878166,0
31,0.000995058,4.89962e-05,0.00105699,0.000227839,0.503686,0.0288333,0.500737,0.00642259,0.878166,0
32,0.000990946,6.82501e-05,0.00106147,0.000238061,0.50429,0.0292345,0.500626,0.00575531,0.878166,0
33,0.000990186,7.21067e-05,0.00106259,0.000242427,0.504234,0.0270523,0.500992,0.00724857,0.878166,0
34,0.000992336,6.27382e-05,0.00106579,0.000249121,0.503852,0.0277355,0.501084,0.00756286,0.878166,0
35,0.0009953,0.000104639,0.00104825,0.000217664,0.504991,0.0312896,0.501145,0.00788314,0.878166,0
36,0.000998012,0.000136256,0.00104447,0.000203279,0.50667,0.0366321,0.500996,0.00789517,0.878166,0
37,0.00100017,0.000158011,0.00104684,0.000208053,0.506723,0.0426212,0.500718,0.00594208,0.878166,0
38,0.00100388,0.000155178,0.00104929,0.000212078,0.505703,0.0376098,0.500585,0.00622158,0.878166,0
39,0.00101253,0.000214276,0.00104621,0.000204826,0.505001,0.0375469,0.500856,0.00725771,0.878166,0
40,0.00100274,0.000179503,0.00104755,0.000209531,0.506055,0.0386839,0.500744,0.00785603,0.878166,0
41,0.000997697,0.000133568,0.00104879,0.000208653,0.50647,0.0391391,0.500894,0.00738747,0.878166,0
42,0.00099164,0.000111729,0.00104296,0.000192779,0.506428,0.0380597,0.501248,0.00664743,0.878166,0
43,0.000990612,0.000113642,0.0010463,0.00020034,0.505893,0.0345915,0.501546,0.00750952,0.878166,0
44,0.000990293,0.000113262,0.00104708,0.000203458,0.50504,0.0330171,0.501707,0.00816834,0.878166,0
45,0.000992569,6.20092e-05,0.00105139,0.000216426,0.506193,0.0385944,0.501556,0.00910931,0.878166,0
46,0.000994268,5.8424e-05,0.0010607,0.00023836,0.504061,0.0377757,0.501742,0.00918584,0.878166,0
47,0.000994054,5.42728e-05,0.0010603,0.000237367,0.504808,0.0372143,0.50183,0.00821042,0.878166,0
48,0.000995028,5.4079e-05,0.0010703,0.000249175,0.504371,0.0326745,0.501569,0.00777015,0.878166,0
